date,mean_sentiment,mean_informativeness,mean_persuasion,mean_anger,mean_surprise,mean_happiness,mean_fear,sd_sentiment,sd_informativeness,sd_fear,sd_persuasion,sd_anger,sd_surprise,sd_happiness,week,support,diff0,diff1,diff2,cases,country
2020-03-11,3.611111111111111,4.677777777777778,4.655555555555556,2.9444444444444446,4.166666666666667,3.6333333333333333,3.1666666666666665,0.7817359599705717,0.12018504251546643,0.49999999999999994,0.08819171036881977,0.5270462766947299,0.5,0.7810249675906655,2011,41.670463142857145,0.5182891428571423,-0.258614428571434,-0.10615114285713645,2694,USA
2020-03-13,3.18,4.1450000000000005,3.835,1.16,3.775,3.12,2.015,1.0018929452213,0.585324921012163,1.1966070453798237,0.5993636976871917,1.3635866019628646,0.5437443284640696,0.6917559654888953,2011,41.670463142857145,0.5182891428571423,-0.258614428571434,-0.10615114285713645,2694,USA
2020-04-13,2.8666666666666667,4.083333333333334,3.816666666666667,1.4833333333333334,3.8333333333333335,3.5,2.6666666666666665,1.5832456116050557,0.9495613022162743,0.408248290463863,0.7494442385305703,1.4441837371562758,0.5163977794943222,0.8944271909999159,2016,40.77548371428571,-0.38830257142857505,-0.23986357142857173,-0.20317742857142918,197338,USA
2020-04-15,2.402884615384615,4.1596153846153845,4.071153846153846,1.9442307692307694,4.070192307692308,3.2230769230769227,2.0365384615384614,2.4567109092059467,0.6428877857011549,1.3290669544383886,0.7628094567870172,1.607496209243861,0.5875537253174627,1.1518858129451144,2016,40.77548371428571,-0.38830257142857505,-0.23986357142857173,-0.20317742857142918,197338,USA
2020-04-23,4.05,4.331818181818182,4.181818181818182,0.9363636363636363,4.136363636363637,3.8045454545454547,1.6590909090909092,0.6322672732016935,0.4302672078254048,1.2105327795601448,0.4717105283018628,1.21166766406409,0.58108720314797635,0.5576116353975553,2017,40.53562014285714,-0.23986357142857173,-0.20317742857142918,0.1441820000000007,206650,USA
2020-06-01,1.4166666666666663,4.608333333333333,4.55,3.1416666666666666,4,1.7666666666666666,3.225,3.5280263174995867,0.15642792899510297,1.2785823114968888,0.2844452335847639,1.2191340692425419,0.5222329678670935,1.8946495638236034,2023,40.73127157142857,0.30321257142857405,-0.12969685714285362,-0.09283442857143598,148696,USA
2020-06-13,4.326190476190476,4.5285714285714285,4.630952380952381,1.6523809523809523,4.285714285714286,4.15952380952381,2.2642857142857142,0.5618174010318715,0.5042675027063656,1.4653429513792302,0.21918707372214208,1.6417180315870614,0.41529973223663286,0.5780790408482739,2024,40.60157471428572,-0.12969685714285362,-0.09283442857143598,0.10352085714286119,149930,USA
2020-07-04,3.8790697674418606,4.416279069767442,4.290697674418605,1.5116279069767442,4.1976744186046515,3.7372093023255815,1.8837209302325582,1.4469274736710998,0.5013934072534354,1.3194389559055086,1.0143761755239782,1.401055605831271,0.4647008111181006,1.0433515719873863,2027,40.363299142857144,-0.2489619999999988,0.05263014285714007,0.20643185714286005,347621,USA
2020-08-08,1.1712328767123288,3.9794520547945207,3.8246575342465756,2.236986301369863,3.9383561643835616,2.76027397260274,2.0356164383561643,2.911589841194765,0.7228337184130842,1.277624734399053,0.9048911570394972,1.4360929683340946,0.6059038558188868,1.373129002399203,2032,40.451494,-0.23914857142857215,0.6007268571428597,0.017620000000000857,396062,USA
2020-09-07,1.1953846153846157,3.9676923076923076,4.049230769230769,2.9599999999999995,4.061538461538461,2.8246153846153845,2.4061538461538463,2.942385871259005,0.6939712918025891,1.3014267318837194,0.5126899272839885,1.2475976915656748,0.6873164090532439,1.3416443699373604,2037,41.77472342857143,0.4691972857142872,0.40254814285714247,0.16427585714286153,256027,USA
2020-03-04,3.5,4.7,4.2,0,4.5,3.5,0.2,0,0,0,0,0,0,0,2010,49.34285714285714,0.6628571428571419,0.6600000000000037,0.7342857142857113,404,UK
2020-03-09,3.3,4.46,3.38,0.58,3.7,2.7800000000000002,2.7800000000000002,0.8366600265340756,0.25099800796022265,0.6685805860178711,0.5019960159204454,1.0779610382569493,0.44721359549995787,0.3834057902536164,2011,50.002857142857145,0.6600000000000037,0.7342857142857113,0.53857142857143,2606,UK
2020-03-12,1.74,4.2,3.54,1.74,3.4,1.97,2.94,1.9523205565571335,0.4714045207910317,0.6703233050799692,0.4033195589934446,1.1596934460834418,0.5676462121975467,1.3241768931847606,2011,50.002857142857145,0.6600000000000037,0.7342857142857113,0.53857142857143,2606,UK
2020-03-16,2.0555555555555554,4.344444444444445,3.7333333333333334,1.8222222222222222,4.022222222222222,2.7333333333333334,3.011111111111111,1.6287350238076719,0.418661889569349,0.5775907817054485,0.4716990566028302,1.3084129487453282,0.5044248650140518,1.2932517156377563,2012,50.73714285714286,0.7342857142857113,0.53857142857143,-0.34428571428571786,7339,UK
2020-03-18,3.19,4.55,3.7600000000000002,1.27,3.7,2.9,2.04,0.4433458644845529,0.3374742788552765,0.9697651491183029,0.24585451886114373,1.2979042936809924,0.6324555320336759,0.5163977794943223,2012,50.73714285714286,0.7342857142857113,0.53857142857143,-0.34428571428571786,7339,UK
2020-03-22,2.5923076923076924,4.507692307692308,4.061538461538461,2.0076923076923077,4.346153846153846,3.169230769230769,3.0153846153846153,1.9198357301522524,0.32522181779399545,0.7977532553429391,0.41940128266069454,1.109400392450458,0.3755338080994054,1.299605462813372,2012,50.73714285714286,0.7342857142857113,0.53857142857143,-0.34428571428571786,7339,UK
